Symbol,profitMargins,revenueGrowth,returnOnEquity
MMM,17.294,9.6,47.467998
ABBV,10.278,50.9,163.56399
ABMD,26.610001999999998,16.7,18.832001
ACN,12.051,20.7,32.209998
ATVI,26.956999999999997,27.200000000000003,16.302
ADBE,38.794000000000004,22.6,45.138
AMD,25.241000000000003,92.9,60.605
AAP,5.9169997,23.400000000000002,18.054001
AES,-2.471,12.7,-2.0750001
AFL,24.088,13.700000000000001,18.819
A,15.902,23.200000000000003,19.314999999999998
APD,20.387,12.9,15.329
AKAM,17.995001,10.299999999999999,14.752
ALK,-15.967,262.7,-17.035
ALB,11.314,12.2,8.828
ARE,39.029998,10.7,6.398
ALGN,16.27,62.4,14.668000000000001
ALLE,16.117,26.700000000000003,63.690999999999995
LNT,18.083,-1.6,10.541
ALL,7.696,26.200000000000003,28.038999999999998
GOOGL,26.115,34.4,23.687
GOOG,26.115,34.4,23.687
MO,20.987000000000002,-3.3000000000000003,89.083
AMZN,6.419,43.8,31.915
AMCR,6.877999999999999,2.1,18.285999
AEE,16.923,8.799999999999999,11.015
AEP,14.807001,9.5,11.129
AXP,18.424,77.3,30.153999999999996
AIG,-8.845,-1.2,-5.673
AMT,23.402001,8.3,42.044997
AWK,18.791,5.2,11.196
AMP,-0.529,10.9,-1.0659999999999998
ABC,-1.909,3.6999999999999997,-207.89399999999998
AME,17.811,1.0999999999999999,14.171
AMGN,28.155002,-4.2,75.295997
APH,14.163999999999998,27.700000000000003,26.123
ADI,25.162000000000003,26.1,13.137999
ANSS,26.455997999999997,19.1,12.4309994
ANTM,3.274,15.7,12.203999999999999
AON,18.554000000000002,9.5,56.659000000000006
AOS,12.911999,20.7,22.561
APA,0.161,42.4,48.766
AAPL,23.451,53.6,103.4
AMAT,22.353001,41.099999999999994,42.174998
APTV,3.801,24.7,8.266
ADM,3.032,26.200000000000003,10.423
ANET,27.477,27.6,21.475
AJG,12.066,16.6,15.129999999999999
AIZ,4.468,-0.7000000000000001,7.8950000000000005
T,-1.1059999500000002,7.6,-0.28400002
ATO,21.789,34.9,9.876999999999999
ADSK,33.315,11.700000000000001,262.266
ADP,16.878,1.3,44.280997
AVB,35.643002,-8.7,7.430000000000001
AVY,8.647,19.1,45.817003
BKR,-0.18600001,8.6,-0.0060000002
BLL,6.287,12.2,24.272
BAC,31.840000000000003,34.2,10.18
BK,23.136000000000003,4.6,8.151
BAX,9.038,5.1,13.28
BDX,9.093001000000001,15.4,7.492999999999999
BBY,4.438000000000001,35.9,59.037994999999995
BIO,151.726,27.1,48.488
BIIB,16.397000000000002,-24.6,22.143999
BKNG,12.445,-50.1,16.358
BWA,3.665,75.9,9.099
BXP,17.566000000000003,-5.8999999999999995,6.805
BSX,2.4500001,8.200000000000001,1.68
BMY,-14.527000000000001,2.7,-14.147000000000002
AVGO,19.108998999999997,15.1,20.377001
BR,10.7130006,11.200000000000001,37.023
CHRW,3.496,26.3,34.820997999999996
COG,18.105,27.700000000000003,12.202
CDNS,23.343,19.1,27.82
CZR,-42.711,260.3,-72.277
CPB,9.184000000000001,-11.3,28.910000000000004
CAH,0.735,0.3,76.932997
KMX,4.7940000000000005,128.1,28.465
CCL,0,-93.4,-47.143
CARR,12.427000000000001,20.9,46.648
CTLT,14.818999999999999,38.5,16.218
CAT,7.991,11.799999999999999,22.304001
CBOE,12.740000000000002,9.700000000000001,13.345
CBRE,3.543,0.8,12.315
CDW,4.511000200000001,10.2,82.83500000000001
CE,34.857,23.200000000000003,62.316
CNC,2.276,16.400000000000002,9.736
CNP,10.118,17.5,10.519
CERN,14.688,-1.7000000000000002,19.697
CF,9.521,7.9,9.32
CRL,12.332,16.6,19.426
SCHW,28.878999999999998,84.8,10.3760004
CHTR,7.4319999999999995,6.7,12.926000000000002
CVX,-8.1020005,4.6,-5.574
CMG,6.436,23.400000000000002,21.566
CB,14.538999,30.5,10.030999999999999
CHD,15.630999000000001,6.3,25.768998
CI,5.172000000000001,6.800000000000001,18.151999999999997
CTAS,15.611,13.3,32.095
CSCO,20.919001,6.800000000000001,26.919999999999998
C,25.374999999999996,45.1,8.345999599999999
CFG,30.897000000000002,41.699999999999996,8.895999999999999
CTXS,13.113,-9.9,2686.812
CLX,12.271,-0.1,113.778
CME,41.571999999999996,-17.599999999999998,7.202999999999999
