Date,Open,High,Low,Close,Adj Close,Volume
2011-02-28,26724.0,26724.0,26032.0,26216.0,26216.0,164
2011-03-01,25964.0,28184.0,25900.0,28132.0,28132.0,247
2011-03-02,28228.0,28508.0,27436.0,28240.0,28240.0,197
2011-03-03,26932.0,27172.0,26740.0,26780.0,26780.0,75
2011-03-04,26624.0,28048.0,26576.0,27544.0,27544.0,109
2011-03-07,28200.0,29004.0,26864.0,28244.0,28244.0,117
2011-03-08,28056.0,28808.0,27416.0,27628.0,27628.0,42
2011-03-09,27992.0,28760.0,27872.0,27996.0,27996.0,59
2011-03-10,29048.0,29624.0,28728.0,29416.0,29416.0,99
2011-03-11,30004.0,30004.0,28460.0,28608.0,28608.0,95
2011-03-14,29580.0,29792.0,28872.0,28984.0,28984.0,64
2011-03-15,32112.0,32172.0,29644.0,30152.0,30152.0,497
2011-03-16,30408.0,33996.0,30232.0,32864.0,32864.0,668
2011-03-17,31000.0,31860.0,30728.0,31636.0,31636.0,269
2011-03-18,30192.0,31080.0,30192.0,30684.0,30684.0,116
2011-03-21,29328.0,29348.0,28276.0,28284.0,28284.0,221
2011-03-22,27980.0,28436.0,27924.0,28044.0,28044.0,108
2011-03-23,28392.0,28876.0,27016.0,27092.0,27092.0,253
2011-03-24,26284.0,26764.0,26144.0,26372.0,26372.0,251
2011-03-25,26028.0,26412.0,25688.0,26348.0,26348.0,390
2011-03-28,26088.0,26696.0,25844.0,26684.0,26684.0,264
2011-03-29,26664.0,27060.0,26024.0,26044.0,26044.0,210
2011-03-30,25708.0,25836.0,25376.0,25552.0,25552.0,283
2011-03-31,25800.0,25888.0,25416.0,25500.0,25500.0,216
2011-04-01,24956.0,25540.0,24720.0,25264.0,25264.0,379
2011-04-04,25028.0,25388.0,24960.0,25040.0,25040.0,267
2011-04-05,25208.0,25228.0,24460.0,24572.0,24572.0,378
2011-04-06,24368.0,24888.0,24204.0,24464.0,24464.0,409
2011-04-07,24560.0,25188.0,24396.0,24676.0,24676.0,462
2011-04-08,24432.0,25416.0,24256.0,25132.0,25132.0,575
2011-04-11,24904.0,25192.0,24592.0,24876.0,24876.0,381
2011-04-12,25340.0,25632.0,24920.0,25112.0,25112.0,649
2011-04-13,24764.0,25200.0,24632.0,24676.0,24676.0,480
2011-04-14,25200.0,25296.0,24336.0,24448.0,24448.0,453
2011-04-15,24288.0,24532.0,23788.0,23904.0,23904.0,605
2011-04-18,25000.0,25456.0,24340.0,24460.0,24460.0,1091
2011-04-19,24212.0,24212.0,23168.0,23228.0,23228.0,632
2011-04-20,22324.0,22444.0,22088.0,22268.0,22268.0,517
2011-04-21,21840.0,22192.0,21604.0,21620.0,21620.0,671
2011-04-25,21524.0,21692.0,21112.0,21128.0,21128.0,271
2011-04-26,20840.0,21004.0,20404.0,20664.0,20664.0,454
2011-04-27,20684.0,21516.0,20388.0,20388.0,20388.0,503
2011-04-28,20620.0,20624.0,20000.0,20100.0,20100.0,433
2011-04-29,20088.0,20304.0,20076.0,20156.0,20156.0,280
2011-05-02,19908.0,20900.0,19908.0,20708.0,20708.0,450
2011-05-03,20836.0,21652.0,20800.0,21176.0,21176.0,343
2011-05-04,21228.0,22096.0,21168.0,21400.0,21400.0,781
2011-05-05,22120.0,22232.0,21152.0,22028.0,22028.0,1042
2011-05-06,21024.0,22200.0,20616.0,21528.0,21528.0,1071
2011-05-09,21564.0,21600.0,20772.0,20808.0,20808.0,440
2011-05-10,20584.0,20732.0,20004.0,20076.0,20076.0,778
2011-05-11,20124.0,21064.0,20124.0,20472.0,20472.0,804
2011-05-12,20808.0,21100.0,20040.0,20248.0,20248.0,803
2011-05-13,20160.0,20828.0,20092.0,20520.0,20520.0,616
2011-05-16,20684.0,20920.0,20092.0,20920.0,20920.0,924
2011-05-17,21172.0,21496.0,20484.0,20548.0,20548.0,1009
2011-05-18,20540.0,20708.0,19872.0,19980.0,19980.0,888
2011-05-19,19708.0,19992.0,19492.0,19504.0,19504.0,878
2011-05-20,19548.0,20164.0,19280.0,19736.0,19736.0,1154
2011-05-23,20712.0,20840.0,20116.0,20396.0,20396.0,1053
2011-05-24,20188.0,20364.0,19920.0,20360.0,20360.0,820
2011-05-25,20344.0,20376.0,19576.0,19776.0,19776.0,384
2011-05-26,19904.0,19996.0,19300.0,19360.0,19360.0,565
2011-05-27,19076.0,19128.0,18748.0,19020.0,19020.0,608
2011-05-31,18320.0,18696.0,18320.0,18476.0,18476.0,478
2011-06-01,18624.0,19644.0,18528.0,19644.0,19644.0,870
2011-06-02,19348.0,20020.0,19192.0,19404.0,19404.0,1021
2011-06-03,20240.0,20240.0,19184.0,19416.0,19416.0,1063
2011-06-06,19412.0,19964.0,19168.0,19732.0,19732.0,639
2011-06-07,19376.0,19500.0,19032.0,19476.0,19476.0,792
2011-06-08,19536.0,19908.0,19296.0,19800.0,19800.0,1004
2011-06-09,19520.0,19556.0,19024.0,19164.0,19164.0,539
2011-06-10,19252.0,20012.0,19192.0,19832.0,19832.0,1420
2011-06-13,19736.0,20552.0,19520.0,20136.0,20136.0,867
2011-06-14,19572.0,19604.0,19292.0,19528.0,19528.0,596
2011-06-15,20216.0,21260.0,20076.0,21168.0,21168.0,3084
2011-06-16,21564.0,23300.0,21240.0,22292.0,22292.0,2760
2011-06-17,21596.0,22392.0,21348.0,21860.0,21860.0,1547
2011-06-20,22032.0,22152.0,20860.0,20884.0,20884.0,1146
2011-06-21,20268.0,20388.0,19696.0,20216.0,20216.0,948
2011-06-22,19972.0,20468.0,19580.0,20428.0,20428.0,1046
2011-06-23,21568.0,21844.0,20368.0,20412.0,20412.0,1689
2011-06-24,20240.0,21332.0,20132.0,21252.0,21252.0,1346
2011-06-27,21272.0,21544.0,20796.0,20880.0,20880.0,939
2011-06-28,20600.0,20748.0,20040.0,20056.0,20056.0,548
2011-06-29,19544.0,19704.0,19020.0,19052.0,19052.0,1217
2011-06-30,18696.0,18708.0,18084.0,18272.0,18272.0,1781
2011-07-01,18124.0,18220.0,17416.0,17540.0,17540.0,962
2011-07-05,17508.0,17712.0,17360.0,17616.0,17616.0,571
2011-07-06,17848.0,18172.0,17692.0,17888.0,17888.0,427
2011-07-07,17284.0,17444.0,17212.0,17400.0,17400.0,475
2011-07-08,18052.0,18056.0,17592.0,17592.0,17592.0,933
2011-07-11,18460.0,19136.0,18284.0,19056.0,19056.0,1270
2011-07-12,19468.0,19552.0,18664.0,19528.0,19528.0,1120
2011-07-13,19132.0,19732.0,18500.0,19512.0,19512.0,1269
2011-07-14,19264.0,20716.0,19264.0,20220.0,20220.0,1810
2011-07-15,19980.0,20728.0,19748.0,20016.0,20016.0,1528
2011-07-18,20400.0,20844.0,20380.0,20444.0,20444.0,1373
2011-07-19,20048.0,20068.0,19372.0,19456.0,19456.0,1153
2011-07-20,19068.0,19472.0,18968.0,19052.0,19052.0,971
2011-07-21,18560.0,18676.0,18000.0,18076.0,18076.0,1405
2011-07-22,17872.0,18212.0,17760.0,17932.0,17932.0,816
2011-07-25,18516.0,18652.0,18204.0,18616.0,18616.0,1262
2011-07-26,18712.0,19148.0,18608.0,19000.0,19000.0,1125
2011-07-27,19364.0,20220.0,19344.0,20124.0,20124.0,1586
2011-07-28,20252.0,20732.0,19544.0,20588.0,20588.0,1251
2011-07-29,21236.0,21544.0,20084.0,20204.0,20204.0,2802
2011-08-01,19120.0,20660.0,19064.0,19356.0,19356.0,2621
2011-08-02,19976.0,20700.0,19528.0,20700.0,20700.0,1701
2011-08-03,20800.0,21764.0,20452.0,20824.0,20824.0,1601
2011-08-04,21612.0,24952.0,21480.0,24920.0,24920.0,2642
2011-08-05,23848.0,28720.0,23476.0,26192.0,26192.0,5506
2011-08-08,28516.0,30780.0,27568.0,30028.0,30028.0,5268
2011-08-09,28816.0,31120.0,27000.0,27056.0,27056.0,3363
2011-08-10,28096.0,30568.0,27812.0,30316.0,30316.0,1239
2011-08-11,29812.0,30612.0,28272.0,29080.0,29080.0,2427
2011-08-12,28064.0,29396.0,27772.0,29288.0,29288.0,1579
2011-08-15,28400.0,28836.0,27632.0,27632.0,27632.0,1205
2011-08-16,28264.0,29232.0,27788.0,28260.0,28260.0,1841
2011-08-17,27860.0,29140.0,27600.0,28824.0,28824.0,1532
